title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,weight_lbs,reps,distance_km,distance_miles,duration_seconds,rpe
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Bench Press (Barbell),,,0,warmup,37.50,82.67,10,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Bench Press (Barbell),,,1,normal,70.00,154.32,6,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Bench Press (Barbell),,,2,normal,70.00,154.32,7,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Bench Press (Barbell),,,3,normal,70.00,154.32,7,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Overhead Press (Barbell),,,0,warmup,25.00,55.12,8,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Overhead Press (Barbell),,,1,normal,45.00,99.21,7,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Overhead Press (Barbell),,,2,normal,45.00,99.21,4,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Overhead Press (Barbell),,,3,normal,45.00,99.21,8,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Incline Bench Press (Dumbbell),,,0,normal,20.00,44.09,12,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Incline Bench Press (Dumbbell),,,1,normal,22.50,49.60,8,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Incline Bench Press (Dumbbell),,,2,normal,22.50,49.60,9,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Lateral Raise (Dumbbell),,,0,normal,10.00,22.05,13,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Lateral Raise (Dumbbell),,,1,normal,10.00,22.05,13,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Lateral Raise (Dumbbell),,,2,normal,10.00,22.05,11,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Triceps Pushdown,,,0,normal,25.00,55.12,13,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Triceps Pushdown,,,1,normal,25.00,55.12,13,,,,
Push Day,"15 Feb 2026, 07:23","15 Feb 2026, 08:35",,Triceps Pushdown,,,2,normal,25.00,55.12,14,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Deadlift (Barbell),,,0,warmup,60.00,132.28,10,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Deadlift (Barbell),,,1,warmup,60.00,132.28,10,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Deadlift (Barbell),,,2,normal,110.00,242.51,4,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Deadlift (Barbell),,,3,normal,110.00,242.51,3,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Deadlift (Barbell),,,4,normal,110.00,242.51,7,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Lat Pulldown (Cable),,,0,normal,57.50,126.77,10,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Lat Pulldown (Cable),,,1,normal,57.50,126.77,12,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Lat Pulldown (Cable),,,2,normal,60.00,132.28,12,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Lat Pulldown (Cable),,,3,normal,60.00,132.28,12,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bent Over Row (Barbell),,,0,normal,47.50,104.72,7,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bent Over Row (Barbell),,,1,normal,47.50,104.72,6,,,,
